Last,Style,Name,Leather,Color,Outsole,Welt
Aberdeen,Monk Strap,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Suede,Brown,Double Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Monk,,Suede,Brown,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Calfskin,Brown,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Whiskey,Single Leather,270 Flat Welt
Aberdeen,Monk Strap,,Shell Cordovan,Whiskey,Single Leather,270 Flat Welt
Plaza,Monk Strap,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Plaza,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Plaza,Monk Strap,,Calfskin,Navy,Single Leather,270 Flat Welt
Plaza,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Plaza,Monk Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Plaza,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Plaza,Monk Strap,,Scotch Grain,Brown,Commando,270 Flat Welt
(no data),Monk Strap,,Suede,Brown,Commando,270 Flat Welt
Aberdeen,Monk Strap,Medallion Cap Toe,Calfskin,Brown,Single Leather,270 Flat Welt
Hampton,Monk Strap,,Shell Cordovan,Ravello,Double Leather,360 Flat Welt
Modified,Monk Strap,,Calfskin,Black,Plantation Crepe,360 Flat Welt
Modified,Monk Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Modified,Monk Strap,,Suede,Snuff,Single Leather,270 Flat Welt
Modified,Monk Strap,,Shell Cordovan,Black,Single Leather,270 Flat Welt
TruLine,Crew Oxford,,Suede,Mocha,Wedge,360 Flat Welt
TruLine,Crew Oxford,,Suede,Brown,Rubber,360 Flat Welt
TruLine,Crew Oxford,,Suede,Tan,Rubber,360 Flat Welt
TruLine,Crew Oxford,,Suede,Tan,Rubber,360 Flat Welt
Hampton,Straight Tip Bal,,Calfskin,Brown,Single Leather,270 Flat Welt
Hampton,Straight Tip Bal,,Calfskin,Black,Single Leather,270 Flat Welt
TruLine,Crew Oxford,,Calfskin,Tan,Rubber,360 Flat Welt
(no data),Wing Tip Bal,,Calfskin,Brown,(no data),(no data)
(no data),Wing Tip Bal,,Calfskin,Black,Single Leather,270 Flat Welt
Hampton,Short Wing Tip Blucher,,Suede,Snuff,(no data),(no data)
Aberdeen,Short Wing Tip Blucher,,Calfskin,Brown,(no data),(no data)
Aberdeen,U-Tip Blucher,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,U-Tip Blucher,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Plaza,Short Wing Tip Blucher,,Shell Cordovan,Black,Single Leather,360 Flat Welt
TruBalance,Plain Toe Blucher,,Shrunken Calf,Dark Brown,Rubber,360 Flat Welt
(no data),Short Wing Tip Blucher,,Calfskin,Brown,(no data),360 Flat Welt
Grant,Short Wing Tip Blucher,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Barrie,Short Wing Tip Blucher,Alden of Carmel AF80,Shell Cordovan,Color 8,Commando,360 Flat Welt
Barrie,Short Wing Tip Blucher,,Calfskin,Dark Brown,Single Leather,360 Pre-Stitched Reverse
Barrie,Short Wing Tip Blucher,,Scotch Grain,Mahogany,Red Brick,360 Flat Welt
Barrie,Short Wing Tip Blucher,,Calfskin,Burgundy,Double Leather,360 Pre-Stitched Reverse
Barrie,Short Wing Tip Blucher,,Suede,Tan,Commando,360 Pre-Stitched Reverse
Barrie,Short Wing Tip Blucher,Bryant Derosa,Chamois,Tobacco,Double Leather,360 Flat Welt
Aberdeen,Short Wing Tip Blucher,,Shell Cordovan,Whiskey,Single Leather,360 Flat Welt
Barrie,Short Wing Tip Blucher,,Suede,Black,Plantation Crepe,360 Storm Welt
Aberdeen,Short Wing Tip Blucher,,Calfskin,Brown,Single Leather,360 Flat Welt
Aberdeen,Short Wing Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Aberdeen,Short Wing Tip Blucher,,Shell Cordovan,Black,Double Leather,360 Flat Welt
Grant,Short Wing Tip Blucher,,Scotch Grain,Brown,Plantation Crepe,360 Flat Welt
Aberdeen,Short Wing Tip Blucher,,Shell Cordovan,Color 8,Single Leather,360 Storm Welt
Aberdeen,Short Wing Tip Blucher,Salzburger,Alpine Grain,Cognac,Double Leather,360 Flat Welt
Aberdeen,Short Wing Tip Blucher,,Shell Cordovan (Scotch Grain),Color 8,Single Leather,270 Flat Welt
Barrie,Short Wing Tip Blucher,,Shell Cordovan,Ravello,Single Leather,360 Flat Welt
Barrie,Short Wing Tip Blucher,,Suede,Navy,Double Leather,360 Flat Welt
Aberdeen,Short Wing Tip Blucher,,Suede,Camel,Single Leather,360 Flat Welt
Barrie,Short Wing Tip Blucher,,Shell Cordovan,Black,Double Leather,360 Flat Welt
Barrie,Short Wing Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
(no data),Mocc Toe Blucher,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Medallion Tip Blucher,,Suede,Dark Brown,Double Leather,360 Flat Welt
Aberdeen,Medallion Tip Blucher,,Suede,Snuff,Double Leather,360 Flat Welt
Snap,Straight Tip Blucher,,Calfskin,Brown,Single Leather,270 Flat Welt
Aberdeen,Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Aberdeen,Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Aberdeen,Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Aberdeen,Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Aberdeen,Medallion Tip Blucher,,Shell Cordovan,Black,Double Leather,360 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Ravello,Heavy Single Leather,270 Flat Welt
(no data),Medallion Tip Blucher,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Barrie,Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Barrie,Medallion Tip Blucher,,Shell Cordovan,Cigar,Single Leather,360 Pre-Stitched Reverse
Barrie,Medallion Tip Blucher,,Chromexcel,Natural,Double Leather,360 Storm Welt
Barrie,Medallion Tip Blucher,Alt Wien,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
Barrie,Medallion Tip Blucher,Alt Wien,Calfskin,Burnished Tan,Double Leather,(no data)
Barrie,Medallion Tip Blucher,Alt Wein Blucher,Chromexcel,Brown,Commando,360 Storm Welt
Barrie,Medallion Tip Blucher,Ironside Alt Wien,Reverse Chamois,Earth,Commando,360 Storm Welt
Barrie,Medallion Tip Blucher,,Shell Cordovan,Color 8,(no data),(no data)
Barrie,Medallion Tip Blucher,,Shell Cordovan,Black,Double Leather,360 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Whiskey,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,Straight Tip Blucher,Shell Cordovan,Color 8,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Color 8,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Color 8,Commando,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Color 8,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,Straight Tip Blucher,Shell Cordovan,Black,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Black,Commando,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Black,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Barrie,Straight Tip Blucher,,Shell Cordovan (Scotch Grain),Color 8,Double Leather,360 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan (Scotch Grain),Black,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Color 8,Double Leather,270 Flat Welt
Barrie,Straight Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Pre-Stitched Reverse
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Ravello,Double Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Black,Single Leather,360 Flat Welt
Aberdeen,Straight Tip Blucher,,Shell Cordovan,Black,Single Leather,360 Pre-Stitched Reverse
Aberdeen,Straight Tip Blucher,,Calfskin,Brown,(no data),270 Flat Welt
(no data),Straight Tip Blucher,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Straight Tip Blucher,,Suede,Snuff,Double Leather,(no data)
Aberdeen,Straight Tip Blucher,,Suede,Black,Double Leather,270 Flat Welt
Aberdeen,Medallion Tip Blucher,,Shell Cordovan,Whiskey,Double Leather,360 Flat Welt
Aberdeen,Medallion Tip Blucher,,Shell Cordovan,Color 8,Double Leather,360 Flat Welt
TruBalance,Mocc Toe Blucher,,Calfskin,Black,Rubber,360 Flat Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Color 8,Double Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Black,Double Leather,270 Flat Welt
Aberdeen,Norwegian Front Blucher,,Shell Cordovan,Whiskey,Double Leather,270 Flat Welt
