Last,Style,Name,Leather,Color,Outsole,Welt
Aberdeen,Tassel,,Chromexcel,Natural,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Other,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Other,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Other,,Shell Cordovan,Black,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Calfskin,Burgundy,Single Leather,(no data)
(no data),Full Strap,,Calfskin,Burgundy,Single Leather,(no data)
Aberdeen,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Milkshake,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Kid Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Tan,(no data),270 Flat Welt
Aberdeen,Tassel,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Navy,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Loden Green,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Suede,Sand,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Suede,Snuff,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Suede,Snuff,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Suede,Navy,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Calfskin,Brown,Single Leather,270 Flat Welt
Plaza,LHS / Penny,BRADLEY LOAFER,Chromexcel,Brown,Single Leather,270 Flat Welt
Plaza,LHS / Penny,LeatherSoul Bradley loafer,Lady Calf,Black,Single Leather,270 Flat Welt
